2023-10-15 22:14:18,803 INFO    StreamThr :1741773 [internal.py:wandb_internal():86] W&B internal server running at pid: 1741773, started at: 2023-10-15 22:14:18.802612
2023-10-15 22:14:18,804 DEBUG   HandlerThread:1741773 [handler.py:handle_request():146] handle_request: status
2023-10-15 22:14:18,806 INFO    WriterThread:1741773 [datastore.py:open_for_write():85] open: /home/bruno/xfang/code/wandb/run-20231015_221418-lbadpyue/run-lbadpyue.wandb
2023-10-15 22:14:18,806 DEBUG   SenderThread:1741773 [sender.py:send():380] send: header
2023-10-15 22:14:18,828 DEBUG   SenderThread:1741773 [sender.py:send():380] send: run
2023-10-15 22:14:19,030 INFO    SenderThread:1741773 [dir_watcher.py:__init__():211] watching files in: /home/bruno/xfang/code/wandb/run-20231015_221418-lbadpyue/files
2023-10-15 22:14:19,030 INFO    SenderThread:1741773 [sender.py:_start_run_threads():1122] run started: lbadpyue with start time 1697422458.80299
2023-10-15 22:14:19,039 DEBUG   HandlerThread:1741773 [handler.py:handle_request():146] handle_request: check_version
2023-10-15 22:14:19,039 DEBUG   SenderThread:1741773 [sender.py:send_request():407] send_request: check_version
2023-10-15 22:14:19,104 DEBUG   HandlerThread:1741773 [handler.py:handle_request():146] handle_request: run_start
2023-10-15 22:14:19,109 DEBUG   HandlerThread:1741773 [system_info.py:__init__():32] System info init
2023-10-15 22:14:19,109 DEBUG   HandlerThread:1741773 [system_info.py:__init__():47] System info init done
2023-10-15 22:14:19,109 INFO    HandlerThread:1741773 [system_monitor.py:start():194] Starting system monitor
2023-10-15 22:14:19,110 INFO    SystemMonitor:1741773 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-10-15 22:14:19,110 INFO    HandlerThread:1741773 [system_monitor.py:probe():214] Collecting system info
2023-10-15 22:14:19,110 INFO    SystemMonitor:1741773 [interfaces.py:start():190] Started cpu monitoring
2023-10-15 22:14:19,111 INFO    SystemMonitor:1741773 [interfaces.py:start():190] Started disk monitoring
2023-10-15 22:14:19,111 INFO    SystemMonitor:1741773 [interfaces.py:start():190] Started gpu monitoring
2023-10-15 22:14:19,112 INFO    SystemMonitor:1741773 [interfaces.py:start():190] Started memory monitoring
2023-10-15 22:14:19,113 INFO    SystemMonitor:1741773 [interfaces.py:start():190] Started network monitoring
2023-10-15 22:14:19,139 DEBUG   HandlerThread:1741773 [system_info.py:probe():196] Probing system
2023-10-15 22:14:19,143 DEBUG   HandlerThread:1741773 [system_info.py:_probe_git():181] Probing git
2023-10-15 22:14:19,161 DEBUG   HandlerThread:1741773 [system_info.py:_probe_git():189] Probing git done
2023-10-15 22:14:19,161 DEBUG   HandlerThread:1741773 [system_info.py:probe():244] Probing system done
