2023-10-15 21:57:19,082 INFO    StreamThr :1276822 [internal.py:wandb_internal():86] W&B internal server running at pid: 1276822, started at: 2023-10-15 21:57:19.082078
2023-10-15 21:57:19,083 DEBUG   HandlerThread:1276822 [handler.py:handle_request():146] handle_request: status
2023-10-15 21:57:19,086 INFO    WriterThread:1276822 [datastore.py:open_for_write():85] open: /home/bruno/xfang/code/wandb/run-20231015_215719-qur4sghu/run-qur4sghu.wandb
2023-10-15 21:57:19,086 DEBUG   SenderThread:1276822 [sender.py:send():380] send: header
2023-10-15 21:57:19,107 DEBUG   SenderThread:1276822 [sender.py:send():380] send: run
2023-10-15 21:57:19,337 INFO    SenderThread:1276822 [dir_watcher.py:__init__():211] watching files in: /home/bruno/xfang/code/wandb/run-20231015_215719-qur4sghu/files
2023-10-15 21:57:19,337 INFO    SenderThread:1276822 [sender.py:_start_run_threads():1122] run started: qur4sghu with start time 1697421439.082169
2023-10-15 21:57:19,346 DEBUG   HandlerThread:1276822 [handler.py:handle_request():146] handle_request: check_version
2023-10-15 21:57:19,346 DEBUG   SenderThread:1276822 [sender.py:send_request():407] send_request: check_version
2023-10-15 21:57:19,433 DEBUG   HandlerThread:1276822 [handler.py:handle_request():146] handle_request: run_start
2023-10-15 21:57:19,441 DEBUG   HandlerThread:1276822 [system_info.py:__init__():32] System info init
2023-10-15 21:57:19,441 DEBUG   HandlerThread:1276822 [system_info.py:__init__():47] System info init done
2023-10-15 21:57:19,441 INFO    HandlerThread:1276822 [system_monitor.py:start():194] Starting system monitor
2023-10-15 21:57:19,441 INFO    SystemMonitor:1276822 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-10-15 21:57:19,441 INFO    HandlerThread:1276822 [system_monitor.py:probe():214] Collecting system info
2023-10-15 21:57:19,442 INFO    SystemMonitor:1276822 [interfaces.py:start():190] Started cpu monitoring
2023-10-15 21:57:19,442 INFO    SystemMonitor:1276822 [interfaces.py:start():190] Started disk monitoring
2023-10-15 21:57:19,443 INFO    SystemMonitor:1276822 [interfaces.py:start():190] Started gpu monitoring
2023-10-15 21:57:19,443 INFO    SystemMonitor:1276822 [interfaces.py:start():190] Started memory monitoring
2023-10-15 21:57:19,444 INFO    SystemMonitor:1276822 [interfaces.py:start():190] Started network monitoring
2023-10-15 21:57:19,479 DEBUG   HandlerThread:1276822 [system_info.py:probe():196] Probing system
2023-10-15 21:57:19,485 DEBUG   HandlerThread:1276822 [system_info.py:_probe_git():181] Probing git
2023-10-15 21:57:19,505 DEBUG   HandlerThread:1276822 [system_info.py:_probe_git():189] Probing git done
2023-10-15 21:57:19,505 DEBUG   HandlerThread:1276822 [system_info.py:probe():244] Probing system done
